@relation bookauthor

@attribute says: {0,1}
@attribute said: {0,1}
@attribute time {0,1}
@attribute night {0,1}
@attribute day {0,1}
@attribute life {0,1}
@attribute home {0,1}
@attribute mind {0,1}
@attribute tom {0,1}
@attribute house {0,1}
@attribute out: {0,1}
@attribute door {0,1}
@attribute ago {0,1}
@attribute indeed {0,1}
@attribute huck {0,1}
@attribute child {0,1}
@attribute friend {0,1}
@attribute death {0,1}
@attribute gone {0,1}
@attribute dead {0,1}
@attribute sir {0,1}
@attribute ground {0,1}
@attribute moment {0,1}
@attribute hand {0,1}
@attribute head {0,1}
@attribute hands {0,1}
@attribute own {0,1}
@attribute business {0,1}
@attribute heart {0,1}
@attribute morning {0,1}
@attribute scrooge {0,1}
@attribute darcy {0,1}
@attribute manette {0,1}
@attribute fire {0,1}
@attribute water {0,1}
@attribute name {0,1}
@attribute lorry {0,1}
@attribute world {0,1}
@attribute else {0,1}
@attribute hear {0,1}
@attribute say: {0,1}
@attribute people {0,1}
@attribute happiness {0,1}
@attribute anyway {0,1}
@attribute road {0,1}
@attribute air {0,1}
@attribute father {0,1}
@attribute arm {0,1}
@attribute boy {0,1}
@attribute wrong {0,1}
@attribute mine {0,1}
@attribute money {0,1}
@attribute tears {0,1}
@attribute darnay {0,1}
@attribute morrow {0,1}
@attribute jim {0,1}
@attribute bed {0,1}
@attribute town {0,1}
@attribute france {0,1}
@attribute subject {0,1}
@attribute wife {0,1}
@attribute trouble {0,1}
@attribute voice {0,1}
@attribute daughter {0,1}
@attribute eyes {0,1}
@attribute cry {0,1}
@attribute harriet {0,1}
@attribute elizabeth {0,1}
@attribute england {0,1}
@attribute days {0,1}
@attribute tell {0,1}
@attribute happened {0,1}
@attribute family {0,1}
@attribute ) {0,1}
@attribute hill {0,1}
@attribute replied {0,1}
@attribute die {0,1}
@attribute elton {0,1}
@attribute sight {0,1}
@attribute word {0,1}
@attribute defarge {0,1}
@attribute spirit {0,1}
@attribute letter {0,1}
@attribute married {0,1}
@attribute manner {0,1}
@attribute dinner {0,1}
@attribute earth {0,1}
@attribute yourself {0,1}
@attribute mother {0,1}
@attribute pit {0,1}
@attribute love {0,1}
@attribute hour {0,1}
@attribute smile {0,1}
@attribute smoke {0,1}
@attribute woman {0,1}
@attribute character {0,1}
@attribute jane {0,1}
@attribute tone {0,1}
@attribute window {0,1}
@attribute * {0,1}
@attribute truth {0,1}
@attribute look {0,1}
@attribute breakfast {0,1}
@attribute matter {0,1}
@attribute hours {0,1}
@attribute republic {0,1}
@attribute live {0,1}
@attribute easy {0,1}
@attribute blood {0,1}
@attribute mean {0,1}
@attribute reckon {0,1}
@attribute little {0,1}
@attribute fellow {0,1}
@attribute distance {0,1}
@attribute joe {0,1}
@attribute martians {0,1}
@attribute saying {0,1}
@attribute dark {0,1}
@attribute happy {0,1}
@attribute words {0,1}
@attribute sister {0,1}
@attribute suppose {0,1}
@attribute week {0,1}
@attribute school {0,1}
@attribute knightley {0,1}
@attribute church {0,1}
@attribute directly {0,1}
@attribute shoulder {0,1}
@attribute answer {0,1}
@attribute asleep {0,1}
@attribute river {0,1}
@attribute jerry {0,1}
@attribute hope {0,1}
@attribute raft {0,1}
@attribute horse {0,1}
@attribute streets {0,1}
@attribute machine {0,1}
@attribute ear {0,1}
@attribute return {0,1}
@attribute account {0,1}
@attribute foot {0,1}
@attribute prisoner {0,1}
@attribute whispered: {0,1}
@attribute evening {0,1}
@attribute doctor {0,1}
@attribute stairs {0,1}
@attribute grave {0,1}
@attribute added {0,1}
@attribute carriage {0,1}
@attribute paper {0,1}
@attribute sleep {0,1}
@attribute women {0,1}
@attribute breast {0,1}
@attribute themselves {0,1}
@attribute court {0,1}
@attribute reply {0,1}
@attribute london {0,1}
@attribute minutes {0,1}
@attribute box {0,1}
@attribute rest {0,1}
@attribute paris {0,1}
@attribute christmas {0,1}
@attribute bookauthor {austen_abr, dickens_abr, twain_abr, wells_abr}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twain
